model,test_nll,test_nll_seen,test_nll_ood,test_rmse,test_rmse_ood,test_mae_ood
gc_tpp_core,-17.350555593317207,-17.393811028967214,-17.29426541026403,1.5755049555752378,1.6759163495656149,0.7308434067211773
gc_tpp_struct,-17.24072442838209,-17.276379931289537,-17.194324368936314,1.6329226681377051,1.7284193705665603,0.7121458570982353
