model,data_mode,K,train_time_sec,test_nll,test_nll_seen,test_nll_ood,test_rmse_ood,test_mae_ood
gc_tpp_struct,icews_real_topk500_K100,100,,-17.040597558420238,-16.874872764411002,-17.268140331147208,1.7315215820717638,0.601104900122635
gc_tpp_struct,icews_real_topk500_K500,500,,-16.936649607720778,-16.958519498507183,-16.910482700269593,1.7884188900410274,0.739631976331434
gc_tpp_struct,icews_real_topk500_K1000,1000,,-17.415069366913222,-17.386312168730786,-17.45223928272838,1.8756222621673255,1.2313123805943456
