coarse_id,coarse_name,is_sparse,tag,count,nll,rmse,mae
0,Other,True,ood,114,-17.203614753589296,0.6769948913814874,0.6482502859935426
0,Other,True,seen,64,-17.282504558563232,0.6703207452306956,0.643722421489656
1,Protest,False,ood,227,-16.879744244041948,2.1622554527698594,0.8685113354401441
1,Protest,False,seen,344,-16.986597501954368,1.7982958037858898,0.7862833064309386
