coarse_id,coarse_name,tag,count,nll_mean,rmse_mean,mae_mean
0,Other,all,134,-17.087543587186442,0.6367593977058251,0.5931004722838971
0,Other,ood,56,-17.09943355832781,0.6429844825388683,0.5981055527393307
0,Other,seen,78,-17.07900719764905,0.6322523087317029,0.5895070811876884
1,Protest,all,615,-16.903771895121753,1.8674670402058742,0.7441540349547456
1,Protest,ood,285,-16.87335551412482,1.935374063798801,0.7674406771074261
1,Protest,seen,330,-16.93004058780092,1.8067672842398803,0.7240428440047033
