coarse_id,coarse_name,tag,count,nll_mean,rmse_mean,mae_mean,cov90_mean
0,Other,all,134,-17.087543587186442,0.6367593977058251,0.5931004722838971,0.0
0,Other,ood,54,-17.10950466438576,0.6435891511867597,0.5982023474794848,0.0
0,Other,seen,80,-17.072719860076905,0.632107599004809,0.5896567065268755,0.0
1,Protest,all,615,-16.903771895121753,1.8674670402058742,0.7441540349547456,0.0
1,Protest,ood,273,-16.956485524719014,1.652535499412685,0.7129223394743253,0.0
1,Protest,seen,342,-16.86169347149587,2.0227094463402233,0.7690845988908707,0.0
