model,data_mode,K,score_seen_mean,score_seen_std,score_seen_count,score_ood_mean,score_ood_std,score_ood_count,score_gap_ood_minus_seen
gc_tpp_core,icews_real_topk500_K100,100,-16.442663192749023,5.090601921081543,173,-16.954050064086914,3.0053632259368896,126,-0.5113868713378906
gc_tpp_core,icews_real_topk500_K500,500,-16.95024871826172,2.2441565990448,408,-16.90178108215332,2.4424352645874023,341,0.04846763610839844
gc_tpp_core,icews_real_topk500_K1000,1000,-17.023786544799805,2.2414307594299316,676,-17.059619903564453,1.9845181703567505,523,-0.03583335876464844
